"website_id","session_id","event_id","url_path","event_name","data_key","string_value","number_value","date_value","data_type","created_at","job_id"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","ebb35ab8-4982-5d40-91d0-ee9f83d1355a","2bb73d04-65c3-4fcb-b4e4-492b0d5c6945","/","theme_change","theme","retro","\N","\N","1","2026-04-05 00:32:46","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","6a2761dd-1040-5751-992a-f15dc82ad7e1","3ca701b2-2df1-4ce8-b4f2-b4163be334b7","/","kiss_button_click","message","красивая!","\N","\N","1","2026-03-28 22:58:01","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","c367eed8-83a7-5473-be6b-a04a68b1f85b","bf22f33b-8cc9-4972-b501-e9312e8751e7","/","kiss_button_click","message","u get it","\N","\N","1","2026-03-31 03:14:59","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","bb2aa133-1e29-5b6b-836b-0e755cc7a4de","15ccf283-729d-40dc-b503-6536b408bf69","/","theme_change","theme","art","\N","\N","1","2026-04-14 18:49:28","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","9883fd71-1911-5c3f-aa8c-dd7814cff2e1","6918b6e5-cef3-4166-b511-5ee337a78f2a","/marjork/","kiss_button_click","message","красивая!","\N","\N","1","2026-03-25 21:02:47","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","2aa69ec0-1c59-5c0e-a6ea-1f6b94da2ef0","587adf7b-5966-4959-b511-dd7096ad47e1","/","outbound_link_click","href","javascript:void(0);","\N","\N","1","2026-04-20 04:14:20","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","2aa69ec0-1c59-5c0e-a6ea-1f6b94da2ef0","587adf7b-5966-4959-b511-dd7096ad47e1","/","outbound_link_click","label","vinyl-link","\N","\N","1","2026-04-20 04:14:20","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","aa559316-35a0-5b49-9694-44f566967710","25dcef50-04c2-43b9-b544-10fcab992cfc","/","theme_change","theme","retro","\N","\N","1","2026-04-18 09:22:12","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","4dc98cd8-cea8-504c-b0ec-09c78b4f0cd8","62f33533-1811-4059-b546-02a76b416771","/","kiss_button_click","message","я тебя люблю!","\N","\N","1","2026-04-16 13:21:24","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","9701140d-7f36-5085-857f-78a05d60da97","20e5a05c-d4d0-4d99-b549-6f620b0018be","/","site_loaded","device","desktop","\N","\N","1","2026-03-27 20:12:00","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","9701140d-7f36-5085-857f-78a05d60da97","20e5a05c-d4d0-4d99-b549-6f620b0018be","/","site_loaded","theme","retro","\N","\N","1","2026-03-27 20:12:00","\N"
